TITLE,COLLECTION,PRICE,CREATOR,OWNER,IMAGE,DESCRIPTION,HISTORY,LINK
NomNom #491,Logical-Friends-X-Deepakshi ,0.044 BNB (19.01 USD) ,Split,@LOGICALFRIENDS ,https://wazirx-nft-production.imgix.net/nft/Qme99WJBWj2ABckc27Ne8jPvLfq6ysX5XYvCF3JHheSViJ,"By owing a ‘NomNom’, you’re donating to an NGO, NomnomIndia, which will try to ensure that the lives of exotic animals get better. Given the lack of proper medical resources and veterinary care, most exotic animals such as rabbits & birds do not get the necessary help. Leading to a lot of pain and u...read more","['Bid placed by @Flycatcher28 Mar 2022 12:01:08 PM for 0.044 BNB19.01 USD', 'Bid placed by @mmondal28 Mar 2022 11:28:24 AM for 0.04 BNB17.28 USD', 'Listed by @LOGICALFRIENDS28 Mar 2022 10:56:56 AM for 0.04 BNB17.28 USD', 'Minted by @LOGICALFRIENDS28 Mar 2022 08:33:10 AM for ']",https://nft.wazirx.org/assets/0x23Cad0003e3A2b27b12359B25c25dD9a890AF8e1/41160
Womwn's empowermwnt #3/5,DANCING-GIRL ,10 WRX (6.86 USD) ,@ROYALBROTHER ,@Shadyholders ,unable to fetch,"Promoting women's sense of self-worth, their ability to determine their own choices, and their right to influence social change for themselves and others.
Dimensions : 1920 x 1080
Total bitrate : 4567kbps
Item Type : MP4 file","['Listed by @Shadyholders28 Mar 2022 11:58:59 AM for 10 WRX6.86 USD', 'Auction won by @Shadyholders27 Mar 2022 08:34:43 PM for 5.5 WRX3.77 USD', 'Bid placed by @Shadyholders27 Mar 2022 12:11:21 PM for 5.5 WRX3.77 USD', 'Bid placed by @metalovia26 Mar 2022 08:11:04 PM for 5 WRX3.43 USD', 'Listed by @ROYALBROTHER26 Mar 2022 03:55:04 PM for 5 WRX3.43 USD', 'Minted by @ROYALBROTHER26 Mar 2022 03:53:26 PM for ']",https://nft.wazirx.org/assets/0x23Cad0003e3A2b27b12359B25c25dD9a890AF8e1/40900
Scattered,Blender-Artworks ,0.35 BNB (151.2 USD) ,@no0bma5ter69 ,@no0bma5ter69 ,https://wazirx-nft-production.imgix.net/nft/QmdVp78Mksf3o9VV1gGAePWMsVskLrK69hRBFU65jEQUBt,"Like flowers scattered in a storm, A man's life is a long farewell.","['Listed by @no0bma5ter6928 Mar 2022 11:57:55 AM for 0.35 BNB151.2 USD', 'Minted by @no0bma5ter6928 Mar 2022 11:56:18 AM for ']",https://nft.wazirx.org/assets/0x23Cad0003e3A2b27b12359B25c25dD9a890AF8e1/41197
STAR #95,CSSClub ,0.65 BNB (280.8 USD) ,@CSSClub ,@ripfarhan ,https://wazirx-nft-production.imgix.net/nft/QmZDdcSDFtzdJCEVdtN8ZxJ7wRqvwyuQEsWQBXtYNW3hYg/95.png,"CSS Club NFT is India's first 10K PFP NFT project. This elite club of 10,000 algorithmically generated Star NFTs features over 140 possible traits inspired by Bollywood Stars.","['Listed by @ripfarhan28 Mar 2022 11:57:33 AM for 0.65 BNB280.8 USD', 'Listed by @ripfarhan19 Mar 2022 05:06:37 PM for 0.65 BNB280.8 USD', 'Listed by @ripfarhan26 Feb 2022 10:57:38 AM for 0.95 BNB410.4 USD', 'Transferred to @ripfarhan23 Feb 2022 04:57:02 PM for ', 'Listed by @Chingles23 Feb 2022 04:55:21 PM for 0.5 BNB216 USD', 'Transferred to @Chingles11 Feb 2022 12:54:40 AM for ', 'Minted by @CSSClubProject26 Jan 2022 10:56:20 PM for ']",https://nft.wazirx.org/assets/0xB382Fcd0263f4e338437F3e9DdB445063A818D6c/95
Mr. DRUGGIE #2,-,10 WRX (6.86 USD) ,@urstrulysubhash ,@0xe5...E8ab ,unable to fetch,"Now, Mr. Druggie be like -- Drugs causes memory loss, & other things I can’t remember.","['Auction won by @0xe5...E8ab28 Mar 2022 11:56:28 AM for 10 WRX6.86 USD', 'Bid placed by @0xe5...E8ab27 Mar 2022 04:58:54 PM for 10 WRX6.86 USD', 'Bid placed by @MAHIMAN27 Mar 2022 02:08:25 PM for 9 WRX6.17 USD', 'Bid placed by @0xe5...E8ab27 Mar 2022 03:58:36 AM for 7 WRX4.8 USD', 'Listed by @urstrulysubhash25 Mar 2022 08:29:13 PM for 7 WRX4.8 USD', 'Minted by @urstrulysubhash25 Mar 2022 08:27:56 PM for ']",https://nft.wazirx.org/assets/0x23Cad0003e3A2b27b12359B25c25dD9a890AF8e1/40793
UDAIPUR,-,0.037 BNB (15.98 USD) ,@himanshumenaria ,@himanshumenaria ,https://wazirx-nft-production.imgix.net/nft/QmcPGtTENXgvqiz7iZhqGSVg6KMb2LGffiCM5ixM9dziar,"Picturesque and elegant, Udaipur is known by many names, including “the City of Lakes”. Undoubtedly one of India's most romantic cities, it nestles between the glassy waters of its famous lakes and the ancient Aravelli Hills.","['Listed by @himanshumenaria28 Mar 2022 11:55:54 AM for 0.037 BNB15.98 USD', 'Minted by @himanshumenaria28 Mar 2022 11:54:15 AM for ']",https://nft.wazirx.org/assets/0x23Cad0003e3A2b27b12359B25c25dD9a890AF8e1/41196
FOG #14 Gulalotsav,Festivals-of Goa ,-,@veepulrege ,@bonnodik ,https://wazirx-nft-production.imgix.net/nft/QmNSgJyBEkTFWeb7VVYkaBVYMJuCv6H16E5VpBQAk8jQAa,"Gulalotsav - Faces

As the season of Holi approaches, it brings festivals around the state of Goa. The most busy places during the festivity season are the hinterlands of Goa. The temples around are flocked with devotees during the festivals. One such famous festival which happens to be a part of ...read more","['Transferred to @bonnodik28 Mar 2022 11:51:43 AM for ', 'Listed by @veepulrege14 Mar 2022 06:48:58 PM for 0.08 BNB34.56 USD', 'Minted by @veepulrege14 Mar 2022 06:46:13 PM for ']",https://nft.wazirx.org/assets/0x23Cad0003e3A2b27b12359B25c25dD9a890AF8e1/38830
Cyprus-RR2: Crazy Queen,Tiny-Heroes-Club ,0.02 BNB (8.64 USD) ,@0xPPrasenjit ,@0xPPrasenjit ,https://wazirx-nft-production.imgix.net/nft/QmVZK9GGXbkoB5D7ET7cfihQgPdMiL2mKbeahNGuTty7SQ,"She’s crazy, cute and sexy. She smokes cigars, rides a motorcycle and kicks asses. A Psychiatrist in profession, love interest of clown prince of crime , Ms. Hurley loves doing crazy things. She’s originally from Brooklyn of Cyprus-RR2.

Now that the heroes from Cyprus are moving to Eris X-7 to fi...read more","['Listed by @0xPPrasenjit28 Mar 2022 11:51:41 AM for 0.02 BNB8.64 USD', 'Minted by @0xPPrasenjit28 Mar 2022 11:50:06 AM for ']",https://nft.wazirx.org/assets/0x23Cad0003e3A2b27b12359B25c25dD9a890AF8e1/41195
NEW HOME,-,0.0083 BNB (3.59 USD) ,@Vpnprasad ,@Vpnprasad ,unable to fetch,"Once seen as the center of the universe, Earth has suffered a series of demotions over the past few hundred years. Now, in an age of fast-paced discovery, we’ve learned we’re likely just one of trillions of planets in the Milky Way galaxy – and among the smaller ones at that. Earth won’t always be f...read more","['Bid placed by @Shadyholders28 Mar 2022 11:46:33 AM for 0.0083 BNB3.59 USD', 'Bid placed by @tripplevibes28 Mar 2022 11:31:52 AM for 0.0075 BNB3.24 USD', 'Bid placed by @Shadyholders28 Mar 2022 11:15:38 AM for 0.0068 BNB2.94 USD', 'Bid placed by @tripplevibes28 Mar 2022 10:05:28 AM for 0.0061 BNB2.64 USD', 'Bid placed by @0xe5...E8ab27 Mar 2022 11:45:32 PM for 0.0055 BNB2.38 USD', 'Bid placed by @PaPaJiCollects27 Mar 2022 01:24:27 PM for 0.005 BNB2.16 USD', 'Listed by @Vpnprasad27 Mar 2022 11:56:22 AM for 0.005 BNB2.16 USD', 'Listed by @Vpnprasad02 Mar 2022 06:48:58 PM for 0.15 BNB64.8 USD', 'Minted by @Vpnprasad02 Mar 2022 06:47:56 PM for ']",https://nft.wazirx.org/assets/0x23Cad0003e3A2b27b12359B25c25dD9a890AF8e1/36023
POPO #16,POPO-The-Platypus ,0.05 BNB (21.6 USD) ,@Alimation ,@Alimation ,https://wazirx-nft-production.imgix.net/nft/QmXemznm1KQQWgJjFDs4Skx1mbKHhsaRSpDAXLW6REN5ap,"POPO is a platypus surfing over the metaverse and collecting digital coins.
POPO loves digital coin. do you love POPO?
Rarity:- Common","['Listed by @Alimation28 Mar 2022 11:42:37 AM for 0.05 BNB21.6 USD', 'Minted by @Alimation28 Mar 2022 11:41:10 AM for ']",https://nft.wazirx.org/assets/0x23Cad0003e3A2b27b12359B25c25dD9a890AF8e1/41194
