TITLE,PRICE,CREATOR,OWNER,IMAGE,DESCRIPTION,HISTORY,LINK
,,,,,,,
Bitcoin - NFT Capsule,0.06 BNB (23.74 USD),@Austervine ,@Austervine ,unable to fetch,NFT Capsule for your financial health. Collect this capsule today!,"['Listed by @Austervine20 Mar 2022 03:41:52 PM for 0.06 BNB23.74 USD', 'Minted by @Austervine20 Mar 2022 03:39:53 PM for ']",https://nft.wazirx.org/assets/0x23Cad0003e3A2b27b12359B25c25dD9a890AF8e1/39927
,,,,,,,
Meta Hand #16 - Red Pill,250 WRX (141.24 USD),@vaishakhart ,@ukiyovisuals ,unable to fetch,Meta Hand is the collection of 3d animated hands with objects or signs.,"['Listed by @ukiyovisuals20 Mar 2022 03:18:45 PM for 250 WRX141.24 USD', 'Transferred to @ukiyovisuals 17 Feb 2022 10:41:49 PM for 11 WRX6.21 USD', 'Listed by @vaishakhart17 Feb 2022 06:13:02 PM for 11 WRX6.21 USD', 'Minted by @vaishakhart17 Feb 2022 03:02:14 PM for ']",https://nft.wazirx.org/assets/0x23Cad0003e3A2b27b12359B25c25dD9a890AF8e1/32663
,,,,,,,
Ajna- Third Eye Chakra,0.1 BNB (39.57 USD),@okgap06 ,@okgap06 ,unable to fetch,"The Third-Eye Chakra, also called the Ajna Chakra, is the center of perception, consciousness and intuition. It is pronounced as Agya Chakra’ and is the focal point of concentration during asana or meditation practices.
The Third Eye Chakra is located between the eyebrows, at the center of your hea...read more","['Listed by @okgap0620 Mar 2022 02:57:49 PM for 0.1 BNB39.57 USD', 'Minted by @okgap0620 Mar 2022 02:56:47 PM for ']",https://nft.wazirx.org/assets/0x23Cad0003e3A2b27b12359B25c25dD9a890AF8e1/39924
,,,,,,,
Insomnia,10 WRX (5.65 USD),@DunatDesign ,@DunatDesign ,https://wazirx-nft-production.imgix.net/nft/QmSchzTjb3ndbMm758jeAMDZjVfht5b66vVk6G6D88Qkcg,"It appears that everyone&#39;s insomnia is as different because of her/his neighbors 
I must keep calm and just wait until their finish ","['Listed by @DunatDesign20 Mar 2022 02:55:05 PM for 10 WRX5.65 USD', 'Minted by @DunatDesign20 Mar 2022 01:38:59 PM for ']",https://nft.wazirx.org/assets/0x23Cad0003e3A2b27b12359B25c25dD9a890AF8e1/39911
,,,,,,,
#82 Techno Ape No. 1,35 WRX (19.77 USD),@doodlemapuls ,@doodlemapuls ,https://wazirx-nft-production.imgix.net/nft/QmYgfd5MRwC5cRemJZMN7zgVzSwH7jAm2BRuaTpJo4CvNE,|| gettin technoised ||,"['Listed by @doodlemapuls20 Mar 2022 02:51:14 PM for 35 WRX19.77 USD', 'Minted by @doodlemapuls20 Mar 2022 02:47:37 PM for ']",https://nft.wazirx.org/assets/0x23Cad0003e3A2b27b12359B25c25dD9a890AF8e1/39923
,,,,,,,
Mastani,1 BNB (395.75 USD),@unrestmind ,@unrestmind ,https://wazirx-nft-production.imgix.net/nft/QmXvAkT6ZePk6bjdiEBqvMWwtrnJNhdZC2c97pRkh8kWBY,"Deepika Padukone as the beautiful Mastani from the movie Bajirao Mastani.
Mastani is not only a loving wife and mother but also a warrior princess.

Size: 30*30 cm
","['Listed by @unrestmind20 Mar 2022 02:31:57 PM for 1 BNB395.75 USD', 'Minted by @unrestmind20 Mar 2022 02:30:33 PM for ']",https://nft.wazirx.org/assets/0x23Cad0003e3A2b27b12359B25c25dD9a890AF8e1/39922
,,,,,,,
Character Token #2,0.008 BNB (3.17 USD),@metaproducts ,@metaproducts ,https://wazirx-nft-production.imgix.net/nft/QmRe2BNLpQGBm995FqsuKd2evoQUBUbqBZYrffmUwzfWYL,Special 3D Character Tokens for Metaverse,"['Listed by @metaproducts20 Mar 2022 02:29:34 PM for 0.008 BNB3.17 USD', 'Minted by @metaproducts20 Mar 2022 02:28:21 PM for ']",https://nft.wazirx.org/assets/0x23Cad0003e3A2b27b12359B25c25dD9a890AF8e1/39921
,,,,,,,
Mahesh,0.6 BNB (237.45 USD),@unrestmind ,@unrestmind ,https://wazirx-nft-production.imgix.net/nft/QmWZ8mhFk5o6Dn8XDuXMMvCb9Zv4hrhuUh2XHe7h5Yg34u,"Mahestinte Prathikaaram is a humorous story of revenge.
This is a 3d caricature of Fahadh Faasil as Mahesh.

Size: 30*30 cm","['Listed by @unrestmind20 Mar 2022 02:28:05 PM for 0.6 BNB237.45 USD', 'Minted by @unrestmind20 Mar 2022 02:26:58 PM for ']",https://nft.wazirx.org/assets/0x23Cad0003e3A2b27b12359B25c25dD9a890AF8e1/39920
,,,,,,,
Parallel Universe ,0.03 BNB (11.87 USD),@benamusic ,@benamusic ,https://wazirx-nft-production.imgix.net/nft/QmR8GD5xi7QLsLXQkaGJZFMS6cnTu3DJoU2ojxs5z7Q9cv,A possible visualisation of a parallel universe in all bright colours. Bringing alive a dreamers dream.,"['Listed by @benamusic20 Mar 2022 02:25:05 PM for 0.03 BNB11.87 USD', 'Minted by @benamusic20 Mar 2022 02:24:16 PM for ']",https://nft.wazirx.org/assets/0x23Cad0003e3A2b27b12359B25c25dD9a890AF8e1/39919
